Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
93,,,,,-114.38446617,43.33995184,1474.740,,,,,1.886,m,FIX,2022-06-03 10:57:50.2 UTC-06:00,2022-06-03 10:57:50.2 UTC-06:00,1,1.5,,,,-114.3834972,43.33865517,1462.44,163.006,Global CS
94,,,,,-114.38445141,43.33994569,1474.543,,,,,1.886,m,FIX,2022-06-03 10:58:00.0 UTC-06:00,2022-06-03 10:58:00.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,161.818,Global CS
95,,,,,-114.38425648,43.34009462,1475.025,,,,,1.886,m,FIX,2022-06-03 11:00:00.6 UTC-06:00,2022-06-03 11:00:00.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,170.137,Global CS
96,,,,,-114.38424842,43.34008934,1474.947,,,,,1.886,m,FIX,2022-06-03 11:00:07.4 UTC-06:00,2022-06-03 11:00:07.4 UTC-06:00,1,1.6,,,,-114.3834972,43.33865517,1462.44,169.351,Global CS
97,,,,,-114.38424174,43.34009377,1474.948,,,,,1.886,m,FIX,2022-06-03 11:00:14.6 UTC-06:00,2022-06-03 11:00:14.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,169.613,Global CS
98,,,,,-114.38424885,43.34010020,1475.006,,,,,1.886,m,FIX,2022-06-03 11:00:23.0 UTC-06:00,2022-06-03 11:00:23.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,170.49,Global CS
99,,,,,-114.38412629,43.34001762,1473.483,,,,,1.886,m,FIX,2022-06-03 11:01:01.6 UTC-06:00,2022-06-03 11:01:01.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,158.401,Global CS
100,,,,,-114.38412405,43.34000652,1473.384,,,,,1.886,m,FIX,2022-06-03 11:01:11.4 UTC-06:00,2022-06-03 11:01:11.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,157.169,Global CS
101,,,,,-114.38410636,43.34000893,1473.271,,,,,1.886,m,FIX,2022-06-03 11:01:23.4 UTC-06:00,2022-06-03 11:01:23.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,156.956,Global CS
102,,,,,-114.38411100,43.34001963,1473.365,,,,,1.886,m,FIX,2022-06-03 11:01:34.2 UTC-06:00,2022-06-03 11:01:34.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,158.208,Global CS
103,,,,,-114.38399334,43.34009049,1472.709,,,,,1.886,m,FIX,2022-06-03 11:02:15.6 UTC-06:00,2022-06-03 11:02:15.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,163.021,Global CS
